Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
1;ANTONIO;702.882 ;55,0
2;JOSE;625.280 ;60,4
3;MANUEL;609.506 ;54,3
4;FRANCISCO;519.796 ;56,5
5;DAVID;361.991 ;29,0
6;JUAN;360.743 ;55,2
7;JOSE ANTONIO;314.363 ;48,1
8;JAVIER;304.459 ;31,6
9;JOSE LUIS;298.983 ;51,7
10;DANIEL;290.613 ;26,0
11;FRANCISCO JAVIER;288.935 ;42,9
12;JESUS;283.007 ;47,5
13;CARLOS;279.191 ;37,7
14;ALEJANDRO;253.950 ;24,6
15;MIGUEL;252.766 ;45,9
16;JOSE MANUEL;244.991 ;45,6
17;RAFAEL;241.594 ;49,7
18;PEDRO;232.491 ;52,8
19;MIGUEL ANGEL;228.087 ;41,9
20;ANGEL;225.218 ;49,6
21;JOSE MARIA;213.778 ;52,6
22;PABLO;212.282 ;26,4
23;FERNANDO;208.099 ;47,5
24;SERGIO;203.921 ;26,7
25;LUIS;199.917 ;51,4
26;JORGE;191.416 ;32,8
27;ALBERTO;180.009 ;35,5
28;JUAN CARLOS;160.749 ;43,6
29;JUAN JOSE;155.782 ;47,2
30;ALVARO;153.034 ;20,9
31;DIEGO;149.301 ;31,6
32;ADRIAN;147.456 ;17,8
33;RAUL;139.174 ;29,7
34;JUAN ANTONIO;136.226 ;47,4
35;ENRIQUE;132.873 ;48,8
36;IVAN;131.895 ;23,5
37;RAMON;128.542 ;56,6
38;RUBEN;126.329 ;25,6
39;VICENTE;125.428 ;57,8
40;OSCAR;122.342 ;32,3
41;ANDRES;118.951 ;46,4
42;JOAQUIN;116.299 ;53,1
43;JUAN MANUEL;114.422 ;44,4
44;SANTIAGO;111.821 ;46,9
45;EDUARDO;107.820 ;43,4
46;VICTOR;104.941 ;29,2
47;ROBERTO;98.331 ;38,4
48;MARIO;97.447 ;23,7
49;JAIME;97.429 ;40,3
50;FRANCISCO JOSE;95.816 ;39,8
51;IGNACIO;91.032 ;38,5
52;MARCOS;88.136 ;24,0
53;ALFONSO;86.933 ;49,8
54;SALVADOR;84.010 ;52,4
55;RICARDO;83.420 ;47,6
56;JORDI;83.336 ;37,8
57;EMILIO;76.111 ;55,8
58;GUILLERMO;71.811 ;32,9
59;JULIAN;70.253 ;55,9
60;GABRIEL;69.992 ;36,6
61;JULIO;69.847 ;53,5
62;HUGO;69.509 ;9,3
63;TOMAS;67.033 ;53,0
64;MARC;65.992 ;18,9
65;JOSE MIGUEL;65.401 ;43,3
66;AGUSTIN;65.349 ;54,9
67;GONZALO;64.109 ;30,8
68;MOHAMED;60.945 ;34,2
69;JOSE RAMON;59.932 ;50,9
70;FELIX;58.892 ;57,2
71;JOAN;56.482 ;41,1
72;NICOLAS;55.808 ;29,2
73;ISMAEL;55.086 ;27,8
74;CRISTIAN;53.460 ;21,7
75;MARTIN;52.187 ;32,3
76;SAMUEL;51.914 ;19,5
77;AITOR;49.124 ;21,0
78;JOSEP;47.942 ;52,7
79;JUAN FRANCISCO;47.857 ;44,1
80;MARIANO;47.561 ;59,3
81;DOMINGO;46.851 ;60,1
82;HECTOR;45.420 ;19,9
83;JOSE CARLOS;45.301 ;41,4
84;ALFREDO;44.873 ;51,6
85;SEBASTIAN;44.607 ;49,3
86;CESAR;43.012 ;38,5
87;IKER;42.660 ;12,7
88;FELIPE;42.162 ;53,5
89;JOSE ANGEL;41.035 ;42,6
90;JOSE IGNACIO;40.023 ;47,6
91;ALEX;39.561 ;12,4
92;VICTOR MANUEL;39.377 ;38,1
93;LUCAS;37.491 ;16,1
94;LUIS MIGUEL;37.123 ;41,5
95;RODRIGO;36.058 ;21,7
96;GREGORIO;35.818 ;60,5
97;JOSE FRANCISCO;35.029 ;46,2
98;JUAN LUIS;34.611 ;45,3
99;XAVIER;34.033 ;32,2
100;ALBERT;33.992 ;31,9
101;LORENZO;32.626 ;54,3
102;ESTEBAN;31.608 ;49,9
103;CRISTOBAL;31.460 ;51,8
104;ANTONIO JOSE;30.679 ;40,9
105;ARTURO;30.069 ;43,0
106;BORJA;29.935 ;23,5
107;EUGENIO;29.234 ;59,3
108;PAU;29.192 ;14,9
109;JOSE JAVIER;27.872 ;43,4
110;JUAN MIGUEL;27.269 ;43,4
111;AARON;27.161 ;13,0
112;JESUS MARIA;26.747 ;52,3
113;ANTONIO JESUS;26.729 ;34,6
114;JAUME;26.321 ;44,8
115;MATEO;26.262 ;22,8
116;FRANCISCO MANUEL;26.125 ;39,3
117;ISAAC;26.080 ;29,5
118;GERMAN;25.358 ;43,2
119;VALENTIN;25.240 ;54,2
120;ERIC;24.828 ;13,3
121;JONATHAN;24.390 ;24,6
122;PEDRO JOSE;24.385 ;43,7
123;ASIER;24.312 ;19,6
124;JOEL;24.296 ;13,4
125;MOHAMMED;24.146 ;36,6
126;JOSE VICENTE;24.086 ;48,0
127;ABEL;23.870 ;30,9
128;MOISES;22.979 ;36,1
129;MIKEL;22.679 ;24,3
130;ADOLFO;22.574 ;54,2
131;SERGI;22.477 ;21,9
132;JUAN RAMON;22.465 ;48,2
133;CHRISTIAN;22.229 ;20,9
134;IZAN;22.003 ;6,2
135;JUAN PEDRO;21.873 ;45,4
136;AHMED;21.723 ;41,7
137;UNAI;21.593 ;16,0
138;IÑIGO;21.153 ;29,3
139;MANUEL JESUS;21.123 ;37,5
140;BENITO;21.112 ;61,0
141;DARIO;21.067 ;18,0
142;ISIDRO;21.049 ;57,4
143;ERNESTO;20.560 ;49,1
144;BERNARDO;20.241 ;55,4
145;GERARD;20.148 ;18,8
146;GERARDO;19.902 ;53,5
147;JON;19.832 ;23,3
148;MIQUEL;19.711 ;38,5
149;CARMELO;19.440 ;56,1
150;ISRAEL;19.301 ;28,9
151;ANTONIO MANUEL;19.232 ;39,7
152;POL;19.111 ;12,4
153;OMAR;18.817 ;25,2
154;ORIOL;18.807 ;20,0
155;PASCUAL;18.791 ;58,4
156;BRUNO;18.779 ;18,4
157;FEDERICO;18.692 ;53,3
